State,County,Violent_crime,MNNM,"Rape
(revised 
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
Tennessee,Wilson,102,0,6,,4,92,846,243,530,73,4
Tennessee,Bedford,47,0,5,,0,42,281,85,185,11,0
Tennessee,Benton,25,0,2,,0,23,111,36,65,10,1
Tennessee,Bledsoe,8,0,0,,0,8,70,15,39,16,0
Tennessee,Carroll,17,0,2,,0,15,207,113,76,18,0
Tennessee,Claiborne,115,0,4,,7,104,531,253,243,35,7
Tennessee,Clay,8,0,0,,0,8,56,24,31,1,0
Tennessee,Cocke,165,0,4,,11,150,649,292,309,48,13
Tennessee,Coffee,60,2,6,,3,49,370,111,220,39,3
Tennessee,Cumberland,67,5,2,,4,56,842,324,425,93,4
Tennessee,Decatur,47,1,4,,0,42,209,67,120,22,0
Tennessee,DeKalb,11,0,1,,1,9,278,85,169,24,1
Tennessee,Dyer,49,0,3,,0,46,161,46,103,12,0
Tennessee,Fentress,26,0,3,,2,21,301,117,171,13,1
Tennessee,Franklin,50,1,6,,4,39,236,43,167,26,3
Tennessee,Gibson,57,3,3,,1,50,261,108,138,15,0
Tennessee,Giles,33,0,5,,0,28,217,98,102,17,1
Tennessee,Greene,126,1,9,,12,104,986,360,542,84,13
Tennessee,Grundy,71,0,3,,1,67,272,152,83,37,9
Tennessee,Hancock,7,1,0,,0,6,82,30,44,8,1
Tennessee,Hardeman,71,0,7,,9,55,366,176,162,28,1
Tennessee,Haywood,25,1,0,,3,21,193,65,110,18,1
Tennessee,Henderson,58,0,6,,0,52,397,141,239,17,6
Tennessee,Henry,49,1,7,,3,38,437,141,261,35,0
Tennessee,Houston,19,0,3,,0,16,62,24,32,6,0
Tennessee,Humphreys,20,0,0,,0,20,165,62,95,8,1
Tennessee,Jackson,24,1,0,,0,23,146,56,78,12,1
Tennessee,Johnson,88,1,8,,3,76,218,90,103,25,3
Tennessee,Lauderdale,51,2,5,,0,44,262,81,158,23,4
Tennessee,Lawrence,129,1,5,,3,120,550,222,289,39,10
Tennessee,Lewis,37,2,4,,2,29,114,36,70,8,3
Tennessee,Lincoln,81,3,3,,2,73,396,146,217,33,1
Tennessee,Marshall,24,0,2,,1,21,108,34,63,11,2
Tennessee,McMinn,88,0,4,,3,81,747,231,450,66,9
Tennessee,McNairy,61,0,2,,2,57,297,75,196,26,2
Tennessee,Meigs,44,0,4,,2,38,268,85,146,37,2
Tennessee,Monroe,120,2,1,,3,114,808,298,456,54,4
Tennessee,Moore,6,0,3,,0,3,87,15,68,4,0
Tennessee,Obion,20,0,2,,0,18,182,66,101,15,1
Tennessee,Overton,37,1,3,,1,32,231,107,108,16,5
Tennessee,Perry,29,0,0,,1,28,93,22,60,11,0
Tennessee,Putnam,108,1,3,,5,99,739,239,462,38,2
Tennessee,Rhea,64,1,4,,3,56,281,97,165,19,4
Tennessee,Scott,43,1,3,,0,39,245,81,147,17,3
Tennessee,Sevier,101,1,13,,9,78,"1,653",671,885,97,0
Tennessee,Stewart,41,0,4,,0,37,154,62,82,10,0
Tennessee,Van Buren,11,0,0,,0,11,84,13,66,5,5
Tennessee,Warren,37,0,2,,5,30,472,167,243,62,1
Tennessee,Wayne,21,0,1,,0,20,55,16,26,13,0
Tennessee,Weakley,45,3,1,,1,40,146,66,70,10,1
Tennessee,White,45,0,0,,1,44,431,101,303,27,4
Texas,Aransas,24,0,,6,3,15,361,163,182,16,1
Texas,Archer,7,0,,0,1,6,67,17,41,9,0
Texas,Armstrong,4,0,,0,0,4,35,4,30,1,2
Texas,Austin,21,0,,3,0,18,123,42,67,14,1
Texas,Bandera,24,0,,8,1,15,259,82,147,30,0
Texas,Bastrop,190,4,,24,12,150,757,263,414,80,5
Texas,Bell,74,5,,14,8,47,709,210,476,23,12
Texas,Bexar,452,19,,60,84,289,"6,099","1,777","3,960",362,68
Texas,Bowie,93,1,,18,0,74,838,297,470,71,9
Texas,Brazoria,182,2,,18,31,131,"1,473",550,853,70,5
Texas,Brazos,42,0,,4,3,35,435,146,259,30,2
Texas,Burleson,15,1,,3,1,10,140,72,63,5,0
Texas,Caldwell,45,1,,2,2,40,202,64,118,20,0
Texas,Callahan,2,0,,1,0,1,71,28,35,8,0
Texas,Cameron,114,3,,21,14,76,"1,510",523,916,71,4
Texas,Carson,5,0,,1,0,4,37,11,21,5,0
Texas,Chambers,57,1,,3,7,46,596,193,339,64,1
Texas,Clay,6,0,,2,0,4,96,52,31,13,3
Texas,Collin,69,0,8,,3,58,608,317,247,44,1
Texas,Comal,148,2,,19,6,121,838,273,514,51,2
Texas,Coryell,3,0,,1,0,2,115,47,61,7,0
Texas,Crosby,2,1,,0,0,1,7,2,5,0,0
Texas,Dallas,34,0,,1,1,32,269,73,177,19,11
Texas,Denton,65,2,,11,7,45,703,228,421,54,2
Texas,Ector,100,1,,3,36,60,"1,887",401,"1,299",187,0
Texas,Ellis,37,4,,4,2,27,541,189,318,34,1
Texas,El Paso,209,2,,41,25,141,"1,180",349,736,95,8
Texas,Falls,2,0,,0,0,2,46,22,21,3,1
Texas,Fort Bend,808,6,,28,147,627,"3,887","1,313","2,367",207,15
Texas,Galveston,85,3,,20,27,35,931,327,543,61,13
Texas,Goliad,8,1,0,,0,7,115,55,57,3,2
Texas,Grayson,74,1,,3,4,66,594,186,355,53,0
Texas,Gregg,82,1,,14,6,61,541,190,319,32,7
Texas,Guadalupe,85,0,,36,2,47,608,236,358,14,12
Texas,Hardin,34,2,,3,0,29,350,125,185,40,0
Texas,Harris,"8,589",106,,281,"3,260","4,942","50,729","13,447","31,501","5,781",241
Texas,Hays,159,1,,11,10,137,518,231,261,26,2
Texas,Hidalgo,437,14,,52,126,245,"5,730","2,321","3,109",300,33
Texas,Hood,50,2,,0,1,47,457,129,297,31,5
Texas,Hudspeth,1,0,,0,0,1,25,7,18,0,0
Texas,Hunt,96,0,,3,4,89,931,342,490,99,0
Texas,Irion,1,0,,0,0,1,35,7,27,1,1
Texas,Jefferson,30,5,,1,2,22,508,176,298,34,4
Texas,Johnson,86,0,,15,5,66,996,293,642,61,12
Texas,Jones,0,0,,0,0,0,90,27,59,4,0
Texas,Kaufman,125,2,33,,10,80,973,407,469,97,0
Texas,Kendall,7,0,,3,0,4,219,68,136,15,0
Texas,Lampasas,4,1,,0,1,2,117,27,86,4,2
Texas,Liberty,181,0,,7,10,164,"1,012",326,548,138,7
Texas,Lynn,0,0,,0,0,0,36,22,13,1,0
Texas,Martin,2,0,,0,0,2,62,9,46,7,0
Texas,McLennan,69,0,23,,4,42,610,224,324,62,6
Texas,Medina,25,0,,11,1,13,156,61,87,8,0
Texas,Midland,55,1,,1,4,49,727,190,451,86,1
Texas,Montgomery,469,5,,8,110,346,"5,830","1,681","3,677",472,13
Texas,Nueces,69,0,,6,4,59,260,111,129,20,2
Texas,Oldham,1,0,,0,1,0,26,8,16,2,0
Texas,Orange,89,0,,8,5,76,651,247,346,58,1
Texas,Parker,64,4,,5,2,53,990,325,585,80,0
Texas,Potter,15,0,,1,1,13,205,54,138,13,0
Texas,Randall,29,0,,2,3,24,245,83,143,19,1
Texas,Robertson,2,1,,0,0,1,145,38,95,12,0
Texas,Rockwall,27,0,5,,2,20,110,32,70,8,0
Texas,Rusk,72,0,6,,3,63,555,249,266,40,2
Texas,San Patricio,31,1,,0,2,28,349,140,190,19,0
Texas,Smith,193,3,,7,17,166,"1,867",665,"1,056",146,20
Texas,Somervell,10,0,,0,1,9,92,31,56,5,0
Texas,Tarrant,113,1,,13,14,85,"1,147",370,716,61,9
Texas,Taylor,21,0,,3,2,16,165,84,72,9,2
Texas,Tom Green,34,3,,19,2,10,313,114,189,10,2
Texas,Travis,487,9,,11,35,432,"3,206",974,"2,068",164,37
Texas,Victoria,81,1,17,,3,60,543,155,347,41,0
Texas,Waller,41,1,,17,3,20,256,83,148,25,0
Texas,Webb,97,1,,5,4,87,278,99,163,16,1
Texas,Wichita,42,0,,1,3,38,157,51,92,14,4
Texas,Williamson,132,1,,29,7,95,"1,152",303,789,60,5
Texas,Wise,62,1,,1,3,57,440,150,253,37,10
Texas,Anderson,55,0,,5,3,47,462,211,208,43,18
Texas,Andrews,8,0,,0,0,8,98,38,54,6,0
Texas,Angelina,115,2,,12,4,97,826,345,443,38,1
Texas,Baylor,3,0,,1,0,2,21,15,4,2,0
Texas,Bee,28,0,,2,0,26,87,25,56,6,3
Texas,Blanco,19,0,,5,0,14,81,27,43,11,1
Texas,Borden,2,0,,0,0,2,16,5,8,3,0
Texas,Bosque,4,0,,2,1,1,128,55,67,6,0
Texas,Brewster,4,0,,0,1,3,21,6,13,2,1
Texas,Briscoe,1,0,,0,0,1,18,8,9,1,1
Texas,Brooks,6,0,,3,1,2,25,11,14,0,0
Texas,Brown,13,0,,0,0,13,191,79,108,4,1
Texas,Burnet,30,4,,5,0,21,300,83,190,27,2
Texas,Calhoun,15,0,,0,0,15,149,67,81,1,0
Texas,Camp,5,0,,0,0,5,190,80,98,12,0
Texas,Cass,49,1,,4,3,41,505,223,232,50,4
Texas,Castro,1,0,,0,0,1,57,21,34,2,0
Texas,Cherokee,80,0,,12,9,59,569,167,340,62,1
Texas,Childress,3,0,,0,0,3,8,1,7,0,0
Texas,Cochran,8,0,,2,0,6,111,37,70,4,1
Texas,Coke,1,0,,0,0,1,20,15,2,3,0
Texas,Collingsworth,0,0,,0,0,0,0,0,0,0,0
Texas,Colorado,20,1,,4,2,13,147,38,95,14,0
Texas,Comanche,2,1,,0,0,1,102,33,62,7,0
Texas,Concho,4,1,,0,0,3,10,3,4,3,0
Texas,Cottle,0,0,,0,0,0,0,0,0,0,0
Texas,Crane,0,0,,0,0,0,26,7,17,2,0
Texas,Culberson,3,0,,0,0,3,12,7,4,1,0
Texas,Dallam,0,0,,0,0,0,14,5,7,2,0
Texas,Dawson,2,1,,0,1,0,47,8,32,7,0
Texas,Deaf Smith,7,0,,1,0,6,75,38,29,8,1
Texas,Delta,1,0,,0,1,0,82,44,33,5,0
Texas,DeWitt,16,0,2,,0,14,143,69,62,12,0
Texas,Dickens,3,0,,0,0,3,5,1,3,1,0
Texas,Dimmit,45,0,,0,1,44,413,130,262,21,1
Texas,Donley,5,0,,0,1,4,39,20,18,1,0
Texas,Duval,51,0,,0,0,51,150,54,78,18,0
Texas,Eastland,2,0,,1,0,1,58,21,30,7,0
Texas,Edwards,4,0,,0,0,4,43,14,27,2,1
Texas,Erath,15,3,,1,0,11,114,45,59,10,0
Texas,Fannin,24,0,,8,0,16,128,52,64,12,0
Texas,Fayette,15,1,,4,1,9,157,63,89,5,0
Texas,Fisher,17,0,,0,0,17,93,34,50,9,1
Texas,Floyd,4,0,,2,1,1,51,22,27,2,0
Texas,Foard,3,0,,0,0,3,4,1,3,0,0
Texas,Franklin,13,0,,8,0,5,99,45,45,9,0
Texas,Freestone,15,0,,1,2,12,138,67,58,13,2
Texas,Frio,5,0,,1,1,3,62,18,40,4,0
Texas,Gaines,7,3,,0,1,3,127,39,81,7,3
Texas,Garza,3,0,,0,0,3,48,17,31,0,0
Texas,Gillespie,6,1,,2,0,3,106,29,75,2,0
Texas,Glasscock,0,0,,0,0,0,9,6,2,1,0
Texas,Gonzales,19,0,,2,1,16,160,45,109,6,0
Texas,Gray,5,1,,0,0,4,88,22,53,13,1
Texas,Grimes,25,0,,3,6,16,250,88,140,22,0
Texas,Hale,7,0,,0,0,7,94,32,62,0,0
Texas,Hall,2,0,,0,0,2,8,2,6,0,0
Texas,Hamilton,15,0,,0,2,13,150,56,88,6,3
Texas,Hansford,1,0,,0,0,1,14,4,10,0,0
Texas,Hardeman,1,0,,0,1,0,121,63,55,3,0
Texas,Harrison,55,0,,0,0,55,438,166,257,15,2
Texas,Hartley,0,0,,0,0,0,16,5,11,0,0
Texas,Haskell,3,0,,0,0,3,33,10,14,9,1
Texas,Hemphill,5,0,,1,0,4,76,17,56,3,0
Texas,Henderson,181,0,,31,6,144,"1,142",506,513,123,10
Texas,Hill,37,1,,4,4,28,356,147,195,14,4
Texas,Hockley,22,0,,1,1,20,109,33,67,9,1
Texas,Hopkins,17,0,,3,1,13,120,52,56,12,3
Texas,Houston,9,0,,2,0,7,200,82,97,21,1
Texas,Howard,32,1,,2,0,29,190,57,117,16,1
Texas,Hutchinson,23,0,,4,1,18,125,45,76,4,0
Texas,Jack,8,0,,0,0,8,89,50,35,4,1
Texas,Jackson,3,2,0,,0,1,46,12,28,6,0
Texas,Jasper,81,1,,24,1,55,435,158,267,10,2
Texas,Jeff Davis,3,0,,0,0,3,17,9,7,1,0
Texas,Jim Hogg,3,0,,0,0,3,23,13,9,1,0
Texas,Jim Wells,65,3,,7,0,55,417,209,174,34,5
Texas,Karnes,2,1,,0,0,1,142,42,92,8,0
Texas,Kenedy,4,0,,4,0,0,9,4,3,2,0
Texas,Kent,3,0,,1,0,2,11,5,6,0,0
Texas,Kerr,24,1,,7,0,16,310,107,186,17,0
Texas,Kimble,2,0,,2,0,0,15,9,6,0,0
Texas,King,0,0,,0,0,0,2,2,0,0,0
Texas,Kinney,1,0,,0,0,1,3,2,0,1,0
Texas,Knox,0,0,,0,0,0,25,8,14,3,0
Texas,Lamar,29,1,,0,1,27,349,134,201,14,0
Texas,Lamb,3,0,,0,1,2,116,36,72,8,0
Texas,La Salle,6,0,,0,0,6,44,3,41,0,0
Texas,Lavaca,5,0,2,,0,3,100,63,34,3,0
Texas,Lee,13,0,,4,1,8,132,48,75,9,0
Texas,Leon,23,0,,2,0,21,240,80,141,19,0
Texas,Limestone,10,0,,0,2,8,280,110,160,10,6
Texas,Lipscomb,6,0,,0,0,6,23,8,15,0,0
Texas,Live Oak,12,0,,2,0,10,181,58,113,10,0
Texas,Llano,16,0,,3,2,11,286,98,182,6,0
Texas,Loving,3,0,,0,0,3,7,1,6,0,0
Texas,Marion,48,0,,4,5,39,295,133,146,16,3
Texas,Mason,1,0,,0,0,1,41,8,32,1,0
Texas,Matagorda,54,0,,6,4,44,266,91,154,21,1
Texas,Maverick,69,0,,5,3,61,442,137,294,11,1
Texas,McCulloch,1,0,,0,0,1,41,14,27,0,0
Texas,McMullen,6,0,,0,0,6,34,7,27,0,0
Texas,Menard,0,0,,0,0,0,5,0,4,1,0
Texas,Milam,18,0,,1,1,16,163,76,81,6,2
Texas,Mills,7,0,,0,0,7,25,6,16,3,0
Texas,Mitchell,3,0,,0,0,3,34,9,20,5,0
Texas,Montague,17,0,,0,0,17,182,63,109,10,0
Texas,Moore,7,0,,2,0,5,77,20,50,7,0
Texas,Morris,25,0,,3,2,20,87,43,38,6,0
Texas,Motley,1,0,,0,0,1,11,3,7,1,0
Texas,Nacogdoches,67,0,,3,1,63,555,224,272,59,1
Texas,Navarro,39,5,,4,0,30,466,201,257,8,1
Texas,Nolan,2,0,,0,0,2,68,27,34,7,1
Texas,Palo Pinto,10,0,,0,0,10,172,82,72,18,0
Texas,Panola,29,0,,3,4,22,345,118,197,30,1
Texas,Parmer,0,0,,0,0,0,31,9,22,0,1
Texas,Pecos,1,0,,0,1,0,76,23,51,2,0
Texas,Polk,81,1,26,,4,50,579,226,311,42,2
Texas,Presidio,3,0,,0,0,3,0,0,0,0,0
Texas,Rains,23,0,,5,0,18,197,76,111,10,0
Texas,Reagan,0,0,,0,0,0,2,1,1,0,0
Texas,Real,0,0,,0,0,0,16,4,10,2,0
Texas,Red River,7,0,,1,0,6,131,46,77,8,0
Texas,Reeves,13,0,,0,1,12,92,13,69,10,0
Texas,Refugio,6,1,,0,0,5,37,10,27,0,0
Texas,Roberts,0,0,,0,0,0,19,4,14,1,0
Texas,Runnels,0,0,,0,0,0,34,1,33,0,0
Texas,Sabine,27,0,,2,0,25,132,66,60,6,0
Texas,San Augustine,9,0,,2,0,7,87,35,47,5,1
Texas,San Jacinto,70,2,,5,11,52,657,237,346,74,2
Texas,San Saba,3,0,,3,0,0,27,10,14,3,1
Texas,Schleicher,0,0,,0,0,0,15,8,6,1,0
Texas,Scurry,16,1,,1,0,14,113,32,72,9,0
Texas,Shackelford,5,0,,1,1,3,18,5,11,2,0
Texas,Shelby,57,0,,9,1,47,278,111,150,17,3
Texas,Sherman,2,0,,0,0,2,10,1,8,1,0
Texas,Starr,105,1,,3,9,92,298,126,136,36,1
Texas,Stephens,6,0,,0,0,6,36,14,20,2,1
Texas,Sterling,3,0,,0,0,3,9,0,9,0,0
Texas,Stonewall,2,0,,0,0,2,16,7,5,4,0
Texas,Sutton,0,0,,0,0,0,0,0,0,0,0
Texas,Swisher,4,1,,0,0,3,19,3,16,0,0
Texas,Terrell,0,0,,0,0,0,9,2,7,0,1
Texas,Terry,4,0,,0,0,4,61,24,34,3,0
Texas,Throckmorton,2,0,,0,0,2,20,8,10,2,0
Texas,Titus,30,0,,0,0,30,233,104,118,11,4
Texas,Trinity,27,0,,7,0,20,219,111,96,12,3
Texas,Upton,0,0,,0,0,0,19,1,16,2,0
Texas,Uvalde,15,1,,0,1,13,145,52,86,7,0
Texas,Val Verde,11,0,,0,2,9,117,36,80,1,0
Texas,Walker,48,3,,15,5,25,342,145,164,33,1
Texas,Ward,31,0,,3,0,28,195,35,145,15,0
Texas,Washington,37,0,,3,4,30,172,58,102,12,0
Texas,Wheeler,5,0,,0,0,5,77,20,44,13,0
Texas,Wilbarger,2,0,,0,0,2,37,17,19,1,2
Texas,Willacy,37,0,,11,1,25,230,68,153,9,1
Texas,Winkler,6,0,,0,1,5,52,4,43,5,0
Texas,Wood,31,1,,0,1,29,724,347,352,25,1
Texas,Young,5,0,,0,0,5,87,34,48,5,1
Utah,Box Elder,1,0,,0,1,0,199,45,142,12,0
Utah,Cache,20,1,,9,0,10,285,53,222,10,1
Utah,Davis,14,2,6,,0,6,205,49,143,13,0
Utah,Juab,1,0,,0,0,1,75,13,53,9,0
Utah,Salt Lake County Unified Police Department,885,6,131,,218,530,"11,748","1,959","8,528","1,261",44
Utah,Tooele,17,0,5,,1,11,198,73,87,38,5
Utah,Utah,37,0,22,,0,15,281,32,232,17,3
Utah,Washington,11,0,2,,0,9,142,45,86,11,1
Utah,Weber,41,0,15,,9,17,896,186,655,55,6
Utah,Beaver,6,0,,0,0,6,25,4,18,3,0
Utah,Carbon,15,0,3,,0,12,205,53,149,3,0
Utah,Daggett,0,0,0,,0,0,14,2,12,0,0
Utah,Duchesne,28,0,2,,3,23,264,56,186,22,5
Utah,Emery,10,0,3,,0,7,161,24,121,16,0
Utah,Grand,8,1,,2,3,2,80,27,50,3,0
Utah,Iron,38,0,,5,5,28,158,57,92,9,0
Utah,Kane,11,0,1,,0,10,25,7,17,1,0
Utah,Millard,33,0,3,,0,30,207,32,169,6,0
Utah,Piute,5,0,,0,0,5,18,9,8,1,0
Utah,Rich,3,0,,0,0,3,37,14,23,0,1
Utah,San Juan,12,0,,0,1,11,77,24,46,7,0
Utah,Sanpete,6,0,,0,0,6,121,23,89,9,0
Utah,Sevier,16,0,,1,1,14,195,48,135,12,0
Utah,Summit,34,1,,8,5,20,410,30,353,27,3
Utah,Uintah,38,2,8,,0,28,224,53,150,21,1
Vermont,Chittenden,0,0,0,,0,0,0,0,0,0,0
Vermont,Franklin,10,0,3,,1,6,41,16,23,2,0
Vermont,Grand Isle,2,0,0,,0,2,91,40,47,4,0
Vermont,Addison,8,0,8,,0,0,1,0,0,1,0
Vermont,Bennington,0,0,0,,0,0,5,2,3,0,0
Vermont,Caledonia,0,0,0,,0,0,1,0,1,0,0
Vermont,Essex,2,0,1,,0,1,31,17,14,0,0
Vermont,Lamoille,8,0,0,,1,7,122,36,84,2,1
Vermont,Orange,4,0,4,,0,0,30,7,23,0,0
Vermont,Rutland,3,0,0,,0,3,95,9,85,1,0
Vermont,Windham,1,0,1,,0,0,38,5,33,0,1
Virginia,Albemarle County Police Department,126,1,43,,24,58,"1,677",242,"1,392",43,6
Virginia,Amelia,8,0,3,,1,4,117,35,69,13,2
Virginia,Amherst,32,1,9,,2,20,372,49,298,25,1
Virginia,Appomattox,8,0,4,,0,4,107,19,82,6,0
Virginia,Arlington County Police Department,362,0,39,,125,198,"3,798",236,"3,406",156,3
Virginia,Bedford,27,0,12,,2,13,653,175,429,49,7
Virginia,Botetourt,16,1,3,,3,9,260,36,207,17,2
Virginia,Buckingham,29,1,8,,5,15,160,45,92,23,2
Virginia,Campbell,67,3,16,,7,41,669,104,541,24,1
Virginia,Caroline,31,0,9,,5,17,350,102,247,1,4
Virginia,Charles City,5,0,1,,0,4,22,5,16,1,0
Virginia,Chesterfield County Police Department,398,9,74,,144,171,"6,316","1,356","4,734",226,51
Virginia,Clarke,3,0,0,,1,2,125,23,96,6,4
Virginia,Craig,6,0,0,,0,6,8,1,5,2,0
Virginia,Culpeper,36,0,3,,3,30,207,47,141,19,4
Virginia,Dinwiddie,54,4,12,,6,32,385,104,262,19,2
Virginia,Fauquier,52,2,13,,10,27,555,99,435,21,6
Virginia,Floyd,10,0,3,,0,7,132,31,93,8,1
Virginia,Fluvanna,21,1,4,,2,14,198,42,145,11,3
Virginia,Franklin,60,4,8,,1,47,519,106,365,48,3
Virginia,Frederick,69,1,28,,12,28,"1,341",210,"1,053",78,4
Virginia,Giles,7,0,2,,1,4,100,18,78,4,1
Virginia,Gloucester,39,0,11,,6,22,671,92,557,22,4
Virginia,Goochland,4,0,0,,1,3,166,35,127,4,1
Virginia,Greene,16,0,5,,1,10,269,45,219,5,2
Virginia,Hanover,93,1,13,,10,69,"1,006",85,874,47,5
Virginia,Henrico County Police Department,586,13,32,,200,341,"7,708","1,091","6,255",362,30
Virginia,Isle of Wight,30,1,4,,3,22,294,83,198,13,1
Virginia,James City County Police Department,58,1,19,,9,29,910,132,748,30,8
Virginia,King William,6,0,1,,2,3,88,18,63,7,0
Virginia,Loudoun,216,4,63,,36,113,"2,678",223,"2,357",98,31
Virginia,Mathews,3,1,1,,1,0,98,31,64,3,1
Virginia,Montgomery,34,0,9,,1,24,368,83,262,23,3
Virginia,Nelson,16,0,4,,2,10,191,41,136,14,1
Virginia,New Kent,22,0,8,,1,13,191,48,137,6,1
Virginia,Powhatan,19,0,5,,1,13,232,47,175,10,0
Virginia,Prince George County Police Department,42,0,10,,9,23,374,73,290,11,2
Virginia,Prince William County Police Department,683,6,72,,241,364,"6,468",686,"5,467",315,13
Virginia,Pulaski,59,0,9,,1,49,550,64,476,10,1
Virginia,Rappahannock,1,0,0,,0,1,0,0,0,0,0
Virginia,Roanoke County Police Department,114,0,27,,10,77,"1,272",233,"1,006",33,3
Virginia,Rockingham,54,0,15,,1,38,382,122,252,8,4
Virginia,Scott,27,0,8,,6,13,295,74,206,15,2
Virginia,Spotsylvania,247,6,35,,49,157,"2,174",264,"1,810",100,2
Virginia,Stafford,177,4,39,,28,106,"2,037",173,"1,791",73,9
Virginia,Sussex,11,0,5,,4,2,105,25,68,12,0
Virginia,Warren,20,0,11,,5,4,317,61,232,24,2
Virginia,Washington,52,2,23,,3,24,849,143,690,16,4
Virginia,York,80,1,24,,11,44,"1,279",152,"1,093",34,9
Virginia,Accomack,30,3,8,,6,13,415,119,271,25,0
Virginia,Alleghany,12,2,3,,0,7,148,49,97,2,3
Virginia,Bath,1,0,0,,1,0,34,6,27,1,0
Virginia,Bland,2,0,0,,0,2,63,23,39,1,1
Virginia,Brunswick,12,0,4,,0,8,104,48,46,10,1
Virginia,Buchanan,42,0,11,,1,30,421,115,276,30,6
Virginia,Carroll,28,2,7,,1,18,340,90,230,20,4
Virginia,Cumberland,14,0,3,,2,9,54,17,33,4,0
Virginia,Dickenson,20,0,4,,1,15,152,43,101,8,2
Virginia,Essex,16,1,1,,1,13,99,56,36,7,0
Virginia,Grayson,13,2,4,,1,6,157,48,100,9,1
Virginia,Greensville,12,1,1,,1,9,89,26,57,6,1
Virginia,Halifax,40,0,15,,3,22,372,96,251,25,3
Virginia,Henry,171,4,13,,21,133,"1,359",414,854,91,3
Virginia,Highland,1,0,0,,0,1,7,0,7,0,0
Virginia,King and Queen,15,0,5,,0,10,62,14,44,4,0
Virginia,King George,29,0,9,,5,15,380,58,298,24,0
Virginia,Lancaster,10,0,1,,0,9,3,0,3,0,1
Virginia,Louisa,42,0,14,,3,25,513,81,404,28,7
Virginia,Lunenburg,8,1,1,,0,6,71,29,42,0,0
Virginia,Madison,12,1,4,,3,4,117,18,95,4,1
Virginia,Mecklenburg,52,2,22,,3,25,288,114,163,11,1
Virginia,Middlesex,10,2,1,,1,6,99,20,76,3,1
Virginia,Northampton,9,2,3,,2,2,129,46,73,10,0
Virginia,Northumberland,21,0,2,,3,16,112,32,74,6,2
Virginia,Nottoway,4,0,1,,1,2,70,13,52,5,0
Virginia,Orange,11,0,6,,3,2,275,33,228,14,2
Virginia,Page,11,0,6,,1,4,219,57,148,14,1
Virginia,Patrick,18,0,2,,3,13,275,87,169,19,2
Virginia,Pittsylvania,48,0,18,,4,26,516,194,301,21,13
Virginia,Prince Edward,23,2,9,,1,11,126,39,78,9,2
Virginia,Richmond,6,0,0,,1,5,60,17,36,7,1
Virginia,Rockbridge,14,0,2,,2,10,259,60,190,9,1
Virginia,Russell,30,3,10,,2,15,288,93,188,7,3
Virginia,Shenandoah,30,1,8,,4,17,251,75,172,4,1
Virginia,Smyth,20,0,7,,0,13,284,47,232,5,3
Virginia,Southampton,23,0,6,,2,15,296,113,167,16,1
Virginia,Surry,10,2,4,,1,3,71,36,34,1,0
Virginia,Tazewell,28,0,10,,0,18,532,109,406,17,4
Virginia,Westmoreland,24,0,5,,3,16,166,35,117,14,2
Virginia,Wise,47,0,22,,6,19,528,110,382,36,4
Virginia,Wythe,25,0,4,,4,17,132,14,111,7,1
Washington,Asotin,25,0,2,,3,20,187,46,131,10,0
Washington,Benton,53,2,5,,4,42,490,153,290,47,2
Washington,Chelan,42,0,4,,3,35,486,147,307,32,0
Washington,Clark,245,1,26,,39,179,"3,390",910,"2,040",440,33
Washington,Columbia,3,0,1,,0,2,213,54,156,3,0
Washington,Cowlitz,90,1,40,,4,45,592,229,310,53,2
Washington,Douglas,15,0,2,,2,11,419,139,243,37,0
Washington,Franklin,24,1,3,,1,19,191,50,129,12,7
Washington,King,377,4,,66,113,194,"5,291","2,105","2,498",688,42
Washington,Kitsap,361,1,62,,35,263,"4,084","1,213","2,585",286,22
Washington,Pend Oreille,17,1,4,,0,12,434,143,250,41,2
Washington,Pierce,975,10,93,,182,690,"9,894","3,263","5,523","1,108",59
Washington,Skagit,107,3,10,,17,77,"1,428",595,744,89,11
Washington,Skamania,19,0,6,,0,13,106,27,71,8,0
Washington,Spokane,167,4,,28,41,94,"3,788",963,"2,451",374,10
Washington,Stevens,30,2,13,,3,12,505,218,241,46,2
Washington,Thurston,244,3,31,,33,177,"2,555","1,102","1,256",197,12
Washington,Walla Walla,12,0,5,,1,6,377,130,230,17,3
Washington,Whatcom,157,0,,30,12,115,"1,330",417,828,85,10
Washington,Yakima,108,4,11,,23,70,"1,604",678,717,209,11
Washington,Adams,24,2,5,,1,16,310,119,157,34,4
Washington,Clallam,66,0,12,,4,50,874,303,523,48,1
Washington,Ferry,8,0,5,,0,3,43,25,16,2,0
Washington,Garfield,3,0,0,,0,3,51,7,40,4,0
Washington,Grant,95,1,20,,11,63,"1,462",434,873,155,10
Washington,Grays Harbor,34,0,3,,2,29,526,242,232,52,2
Washington,Island,35,0,10,,3,22,772,315,431,26,2
Washington,Jefferson,29,0,10,,0,19,362,90,250,22,0
Washington,Kittitas,14,0,2,,1,11,340,131,183,26,0
Washington,Klickitat,8,1,0,,0,7,93,54,22,17,0
Washington,Lewis,59,1,10,,1,47,611,265,315,31,4
Washington,Lincoln,9,0,2,,0,7,137,48,80,9,1
