State,County,Violent_crime,MNNM,Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Alabama,Autauga,55,2,5,5,43,384,131,206,47,
Alabama,Baldwin,163,1,9,18,135,737,226,442,69,
Alabama,Bibb,3,0,1,1,1,69,41,24,4,
Alabama,Blount,313,1,14,5,293,812,198,502,112,
Alabama,Calhoun,18,0,7,7,4,211,93,117,1,
Alabama,Chilton,168,2,15,7,144,715,268,368,79,
Alabama,Colbert,58,0,13,3,42,267,84,151,32,
Alabama,Elmore,60,1,13,9,37,757,228,467,62,
Alabama,Etowah,104,2,13,3,86,526,186,276,64,
Alabama,Geneva,58,0,7,3,48,227,73,124,30,
Alabama,Hale,17,0,1,0,16,39,9,21,9,
Alabama,Henry,14,0,2,0,12,48,17,26,5,
Alabama,Houston,103,2,12,10,79,580,144,396,40,
Alabama,Jefferson,700,5,34,163,498,"2,311","1,203",974,134,
Alabama,Lauderdale,37,0,4,1,32,165,41,87,37,
Alabama,Lawrence,71,2,9,3,57,356,101,206,49,
Alabama,Lee,420,2,20,12,386,"1,072",253,704,115,
Alabama,Limestone,154,2,28,10,114,"1,015",284,649,82,
Alabama,Lowndes,68,1,12,11,44,236,95,111,30,
Alabama,Madison,380,6,31,32,311,"2,074",549,"1,299",226,
Alabama,Mobile,136,5,11,21,99,"2,375",728,"1,310",337,
Alabama,Montgomery,115,0,2,14,99,389,122,222,45,
Alabama,Morgan,143,0,11,1,131,284,157,109,18,
Alabama,Russell,45,1,9,6,29,351,98,214,39,
Alabama,Shelby,98,0,30,6,62,690,232,401,57,
Alabama,Tuscaloosa,215,5,10,22,178,"1,363",414,781,168,
Alabama,Walker,84,0,9,10,65,587,144,330,113,
Alabama,Barbour,34,0,3,3,28,100,33,57,10,
Alabama,Bullock,6,0,1,1,4,46,19,21,6,
Alabama,Butler,33,2,2,5,24,190,69,111,10,
Alabama,Chambers,3,0,0,1,2,89,33,52,4,
Alabama,Cherokee,48,3,8,2,35,357,131,196,30,
Alabama,Choctaw,13,1,0,0,12,21,4,13,4,
Alabama,Clarke,40,1,3,2,34,91,36,47,8,
Alabama,Cleburne,6,0,0,1,5,136,41,82,13,
Alabama,Coffee,23,2,5,2,14,138,46,77,15,
Alabama,Coosa,25,2,2,2,19,157,54,92,11,
Alabama,Covington,4,0,1,0,3,46,13,29,4,
Alabama,Cullman,73,0,34,10,29,954,224,608,122,
Alabama,Dale,44,2,15,4,23,194,53,114,27,
Alabama,Dallas,109,1,8,13,87,501,187,282,32,
Alabama,DeKalb,147,0,32,9,106,755,248,382,125,
Alabama,Franklin,30,0,9,1,20,291,101,155,35,
Alabama,Greene,32,0,0,3,29,99,39,44,16,
Alabama,Lamar,9,0,3,0,6,67,25,37,5,
Alabama,Macon,23,0,3,0,20,152,70,61,21,
Alabama,Marengo,52,2,6,4,40,211,99,90,22,
Alabama,Marion,19,0,2,0,17,153,63,75,15,
Alabama,Marshall,102,1,13,3,85,511,168,280,63,
Alabama,Monroe,39,0,0,4,35,108,40,61,7,
Alabama,Pike,19,0,3,1,15,88,33,51,4,
Alabama,Randolph,6,0,1,0,5,182,68,97,17,
Alabama,Sumter,15,1,0,1,13,60,23,26,11,
Alabama,Talladega,96,2,13,7,74,720,192,460,68,
Alabama,Tallapoosa,21,0,8,3,10,118,34,81,3,
Alabama,Wilcox,46,2,2,4,38,123,74,45,4,
Alabama,Winston,19,0,6,1,12,83,30,47,6,
Arizona,Cochise,189,0,14,8,167,616,64,492,60,0
Arizona,Coconino,105,3,18,3,81,422,108,287,27,12
Arizona,Maricopa,"1,389",18,151,133,"1,087","5,411","1,004","3,733",674,66
Arizona,Mohave,172,4,21,24,123,"2,425",800,"1,394",231,13
Arizona,Pima,650,15,82,189,364,"8,851","1,776","6,411",664,57
Arizona,Pinal,219,7,27,16,169,"2,195",555,"1,411",229,15
Arizona,Yavapai,249,3,30,12,204,"1,153",301,743,109,16
Arizona,Yuma,149,11,22,8,108,"1,001",378,521,102,11
Arizona,Graham,8,0,0,1,7,130,29,83,18,14
Arizona,Greenlee,1,0,0,0,1,51,30,15,6,0
Arizona,Navajo,85,1,3,4,77,441,182,211,48,1
Arkansas,Benton,125,1,38,0,86,712,408,255,49,1
Arkansas,Cleveland,11,0,1,1,9,94,47,41,6,0
Arkansas,Craighead,51,2,8,2,39,296,5,244,47,4
Arkansas,Crawford,30,0,1,1,28,299,61,204,34,1
Arkansas,Crittenden,143,1,15,9,118,275,83,162,30,3
Arkansas,Faulkner,116,2,28,6,80,941,259,576,106,10
Arkansas,Garland,296,0,28,10,258,"1,612",676,804,132,0
Arkansas,Grant,46,0,7,0,39,185,55,115,15,4
Arkansas,Jefferson,71,4,14,3,50,428,165,208,55,8
Arkansas,Lincoln,5,0,1,1,3,66,18,36,12,1
Arkansas,Little River,27,0,2,0,25,122,45,70,7,2
Arkansas,Lonoke,85,3,4,3,75,426,83,233,110,4
Arkansas,Madison,39,0,8,4,27,137,56,77,4,1
Arkansas,Miller,24,1,3,2,18,319,112,180,27,2
Arkansas,Perry,41,0,7,1,33,151,28,123,0,0
Arkansas,Pulaski,412,3,20,40,349,"1,805",460,"1,093",252,21
Arkansas,Saline,167,2,30,14,121,838,321,407,110,10
Arkansas,Sebastian,62,0,10,1,51,222,77,126,19,3
Arkansas,Washington,198,0,19,1,178,583,186,339,58,10
Arkansas,Arkansas,13,0,1,0,12,108,31,62,15,1
Arkansas,Ashley,23,1,1,1,20,235,65,158,12,0
Arkansas,Baxter,73,2,12,1,58,632,80,495,57,10
Arkansas,Boone,199,0,52,1,146,320,81,199,40,6
Arkansas,Bradley,8,1,1,0,6,32,18,11,3,0
Arkansas,Calhoun,15,0,4,0,11,40,16,21,3,0
Arkansas,Carroll,44,8,3,0,33,191,42,119,30,1
Arkansas,Chicot,3,0,0,0,3,59,21,38,0,1
Arkansas,Clark,12,0,1,0,11,76,28,41,7,0
Arkansas,Clay,9,0,1,0,8,67,19,45,3,1
Arkansas,Cleburne,88,1,18,0,69,336,100,219,17,9
Arkansas,Columbia,12,0,0,0,12,51,17,25,9,2
Arkansas,Conway,50,0,11,2,37,252,69,159,24,3
Arkansas,Cross,25,0,6,0,19,143,36,98,9,0
Arkansas,Dallas,2,0,1,0,1,31,16,12,3,0
Arkansas,Drew,21,1,4,1,15,114,35,71,8,3
Arkansas,Franklin,68,1,11,1,55,203,81,100,22,5
Arkansas,Fulton,35,0,3,0,32,69,0,65,4,0
Arkansas,Greene,33,0,6,1,26,189,52,115,22,0
Arkansas,Hempstead,35,0,2,1,32,189,56,104,29,0
Arkansas,Hot Spring,38,3,2,3,30,205,52,122,31,5
Arkansas,Howard,8,0,3,0,5,42,30,11,1,0
Arkansas,Independence,176,1,29,3,143,477,181,242,54,17
Arkansas,Izard,35,0,9,1,25,260,60,182,18,8
Arkansas,Jackson,24,1,3,1,19,128,36,74,18,1
Arkansas,Johnson,37,1,6,2,28,217,56,134,27,6
Arkansas,Lawrence,12,0,5,0,7,61,16,42,3,2
Arkansas,Lee,1,0,1,0,0,68,14,42,12,0
Arkansas,Logan,20,0,9,1,10,183,30,128,25,0
Arkansas,Marion,48,0,8,0,40,325,86,223,16,1
Arkansas,Mississippi,16,0,4,2,10,254,75,147,32,1
Arkansas,Monroe,2,0,0,0,2,48,5,36,7,0
Arkansas,Montgomery,10,0,4,2,4,85,32,42,11,1
Arkansas,Pike,2,0,1,1,0,53,17,33,3,0
Arkansas,Polk,30,5,6,1,18,96,27,61,8,5
Arkansas,Pope,79,1,8,1,69,379,136,188,55,1
Arkansas,Prairie,4,0,1,0,3,67,28,35,4,0
Arkansas,Randolph,33,0,15,0,18,173,43,118,12,1
Arkansas,Scott,22,0,2,0,20,91,41,41,9,2
Arkansas,Searcy,6,0,2,0,4,52,20,29,3,0
Arkansas,Sevier,24,0,6,0,18,69,34,33,2,1
Arkansas,St. Francis,25,0,7,2,16,272,68,204,0,2
Arkansas,Union,49,1,4,5,39,317,108,171,38,0
Arkansas,Van Buren,28,0,1,0,27,177,19,121,37,2
Arkansas,White,146,3,20,1,122,779,218,472,89,3
Arkansas,Woodruff,4,0,0,0,4,33,8,21,4,0
Arkansas,Yell,63,3,15,1,44,190,63,100,27,4
California,Alameda,675,8,28,227,412,"2,202",377,"1,156",669,30
California,Butte,161,5,49,27,80,"1,229",616,589,24,0
California,Contra Costa,318,3,28,110,177,"1,525",500,993,32,12
California,El Dorado,206,5,37,19,145,"2,003",525,"1,446",32,3
California,Fresno,"1,213",15,38,86,"1,074","3,334","1,469","1,249",616,210
California,Imperial,137,1,11,6,119,641,218,358,65,14
California,Kern,"2,187",32,138,429,"1,588","9,086","2,815","4,316","1,955",341
California,Kings,165,2,22,13,128,473,165,283,25,2
California,Los Angeles,"6,118",71,327,"1,566","4,154","17,336","3,789","9,155","4,392",253
California,Madera,451,3,23,27,398,"1,102",452,606,44,10
California,Marin,91,1,12,10,68,776,153,615,8,3
California,Merced,521,7,16,38,460,"1,504",554,908,42,13
California,Monterey,243,7,31,48,157,"1,311",338,927,46,7
California,Napa,56,0,6,3,47,217,71,143,3,1
California,Orange,271,0,16,34,221,"1,178",203,751,224,3
California,Placer,302,3,42,33,224,"1,447",380,"1,026",41,4
California,Riverside,775,16,48,161,550,"7,700","1,711","4,579","1,410",28
California,Sacramento,"2,612",32,154,772,"1,654","9,224","2,492","6,545",187,58
California,San Benito,51,1,10,6,34,144,50,80,14,1
California,San Bernardino,862,27,76,160,599,"5,076","1,358","2,556","1,162",70
California,San Diego,"1,486",18,119,232,"1,117","4,548","1,075","2,645",828,32
California,San Joaquin,746,5,25,141,575,"2,961",751,"2,068",142,27
California,San Luis Obispo3,,1,21,16,,"1,116",400,691,25,5
California,San Mateo,311,2,65,70,174,"3,109",337,"2,411",361,14
California,Santa Barbara,272,2,43,24,203,"1,499",421,"1,054",24,6
California,Santa Clara,383,2,43,33,305,"1,271",229,834,208,1
California,Santa Cruz,288,0,41,42,205,"1,794",427,"1,349",18,9
California,Shasta,527,4,48,24,451,944,431,468,45,48
California,Solano,105,1,9,15,80,368,164,139,65,8
California,Sonoma,636,6,81,60,489,"1,149",388,753,8,15
California,Stanislaus,398,16,26,126,230,"1,647",570,"1,013",64,11
California,Sutter,87,1,9,5,72,600,230,303,67,2
California,Tulare4,362,13,35,68,246,"1,883",634,"1,246",3,0
California,Ventura,176,2,30,26,118,817,194,531,92,8
California,Yolo,56,2,4,10,40,282,99,166,17,3
California,Yuba,224,2,17,37,168,"1,156",433,718,5,16
California,Alpine,13,0,0,0,13,29,8,21,0,0
California,Amador,87,0,7,5,75,356,98,248,10,0
California,Calaveras,200,2,29,17,152,588,214,359,15,0
California,Colusa,60,1,9,1,49,151,57,91,3,2
California,Del Norte,113,4,29,12,68,348,189,148,11,18
California,Glenn,81,0,5,6,70,235,100,123,12,2
California,Humboldt,273,4,25,51,193,949,362,546,41,15
California,Inyo,84,0,6,6,72,170,63,102,5,3
California,Lake,221,6,26,9,180,558,284,266,8,14
California,Lassen,60,1,6,2,51,233,106,124,3,3
California,Mariposa,107,0,9,3,95,269,83,184,2,0
California,Mendocino,254,3,26,21,204,381,185,189,7,11
California,Modoc,19,0,0,0,19,43,9,34,0,0
California,Mono,16,0,1,0,15,58,15,38,5,0
California,Nevada,174,3,13,12,146,620,294,304,22,3
California,Plumas,146,0,23,7,116,293,140,152,1,6
California,Sierra,5,0,0,1,4,24,12,11,1,0
California,Siskiyou,54,3,4,3,44,241,146,85,10,1
California,Tehama,89,8,22,10,49,432,212,206,14,0
California,Trinity,75,1,5,8,61,179,84,94,1,1
California,Tuolumne,173,2,39,13,119,622,322,294,6,6
Colorado,Adams,549,7,112,80,350,"2,895",411,"1,587",897,36
Colorado,Arapahoe,305,2,76,53,174,"2,023",360,"1,317",346,20
Colorado,Boulder,94,3,25,9,57,575,128,395,52,6
Colorado,Clear Creek,15,0,2,0,13,79,12,58,9,9
Colorado,Douglas,292,3,117,16,156,"2,410",487,"1,695",228,23
Colorado,Elbert,22,0,0,0,22,3,0,2,1,0
Colorado,El Paso,411,4,90,33,284,"2,096",374,"1,461",261,25
Colorado,Gilpin,15,1,5,1,8,91,17,65,9,0
Colorado,Jefferson,218,2,45,17,154,"2,695",411,"2,051",233,13
Colorado,Larimer,180,0,27,8,145,939,210,639,90,19
Colorado,Mesa,216,2,57,12,145,"1,326",274,911,141,23
Colorado,Pueblo,34,1,1,7,25,"1,162",186,834,142,3
Colorado,Teller,25,0,5,1,19,91,23,59,9,2
Colorado,Weld,150,2,16,5,127,745,182,455,108,9
Colorado,Alamosa,2,0,2,0,0,34,4,27,3,0
Colorado,Archuleta,26,1,0,0,25,113,44,64,5,0
Colorado,Baca,3,0,0,0,3,3,1,1,1,0
Colorado,Bent,11,0,1,3,7,111,33,68,10,0
Colorado,Chaffee,6,0,0,0,6,74,13,58,3,0
Colorado,Cheyenne,2,0,0,0,2,4,2,1,1,0
Colorado,Conejos,4,0,0,0,4,62,62,0,0,1
Colorado,Crowley,6,0,1,0,5,60,37,22,1,2
Colorado,Custer,9,0,0,0,9,101,23,73,5,0
Colorado,Delta,20,0,15,0,5,221,99,101,21,2
Colorado,Dolores,7,0,0,0,7,26,9,15,2,0
Colorado,Fremont,42,1,13,0,28,222,60,134,28,3
Colorado,Garfield,41,0,20,2,19,199,46,142,11,4
Colorado,Grand,4,0,0,0,4,42,13,28,1,0
Colorado,Gunnison,5,0,2,0,3,33,4,21,8,0
Colorado,Hinsdale,1,0,1,0,0,7,0,7,0,0
Colorado,Huerfano,15,0,0,2,13,102,21,66,15,3
Colorado,Jackson,0,0,0,0,0,7,0,7,0,0
Colorado,Kit Carson,2,0,0,0,2,34,10,15,9,0
Colorado,Lake,8,0,0,1,7,56,17,34,5,2
Colorado,La Plata,45,2,12,0,31,190,55,114,21,1
Colorado,Lincoln,2,1,1,0,0,22,7,12,3,0
Colorado,Logan,6,0,3,0,3,119,36,70,13,4
Colorado,Mineral,1,0,0,0,1,0,0,0,0,0
Colorado,Moffat,8,0,0,0,8,51,7,36,8,5
Colorado,Montezuma,17,0,1,0,16,161,42,101,18,3
Colorado,Montrose,8,0,1,0,7,287,114,141,32,1
Colorado,Morgan,21,2,8,0,11,92,25,57,10,1
Colorado,Otero,6,0,0,0,6,63,18,34,11,1
Colorado,Phillips,0,0,0,0,0,8,4,4,0,0
Colorado,Pitkin,5,0,2,1,2,39,2,34,3,0
Colorado,Prowers,12,0,1,0,11,10,4,6,0,0
Colorado,Rio Blanco,0,0,0,0,0,18,2,15,1,0
Colorado,Rio Grande,1,0,0,0,1,4,3,0,1,0
Colorado,Routt,1,0,1,0,0,43,8,32,3,0
Colorado,Saguache,0,0,0,0,0,21,8,10,3,0
Colorado,San Juan,0,0,0,0,0,5,3,2,0,0
Colorado,Summit,45,0,16,1,28,261,32,218,11,3
Colorado,Washington,9,0,4,0,5,99,6,84,9,0
Delaware,New Castle County Police Department,933,5,50,161,717,"4,308",951,"2,968",389,4
Florida,Alachua,617,5,74,104,434,"1,939",533,"1,278",128,14
Florida,Baker,88,2,5,5,76,331,101,208,22,1
Florida,Bay,357,4,45,31,277,"2,416",492,"1,724",200,4
Florida,Brevard,729,10,67,86,566,"4,216",844,"3,023",349,14
Florida,Broward,313,8,27,85,193,813,128,610,75,5
Florida,Charlotte,360,1,33,23,303,"2,051",368,"1,573",110,1
Florida,Citrus,399,3,42,40,314,"2,037",431,"1,472",134,12
Florida,Clay,514,4,78,81,351,"2,993",543,"2,290",160,20
Florida,Collier,957,6,77,152,722,"3,873",639,"3,025",209,15
Florida,Escambia,"1,400",19,176,236,969,"8,035","1,692","5,879",464,0
Florida,Flagler,228,3,21,28,176,"1,616",252,"1,272",92,5
Florida,Gadsden,114,0,19,4,91,407,193,195,19,4
Florida,Gilchrist,25,0,0,6,19,70,38,28,4,0
Florida,Gulf,27,0,1,1,25,175,79,90,6,2
Florida,Hernando,457,8,72,61,316,"2,939",553,"2,190",196,13
Florida,Highlands,250,5,31,29,185,"2,040",550,"1,397",93,14
Florida,Hillsborough,"2,037",24,212,351,"1,450","13,751","2,496","10,091","1,164",49
Florida,Indian River,355,3,26,34,292,"1,902",361,"1,422",119,4
Florida,Jefferson,107,0,5,2,100,180,58,110,12,2
Florida,Lake,489,9,74,37,369,"2,644",620,"1,764",260,17
Florida,Lee,"1,299",32,174,313,780,"6,002","1,339","4,108",555,41
Florida,Leon,362,5,36,26,295,"1,914",382,"1,431",101,6
Florida,Manatee,"1,484",16,148,195,"1,125","4,850",941,"3,594",315,12
Florida,Marion,881,12,86,125,658,"4,517","1,348","2,643",526,2
Florida,Martin,323,1,61,45,216,"2,288",480,"1,724",84,1
Florida,Miami-Dade,"5,957",90,474,"1,383","4,010","35,112","4,387","27,223","3,502",44
Florida,Nassau,179,1,16,14,148,904,367,473,64,5
Florida,Okaloosa,512,5,68,47,392,"2,957",554,"2,225",178,2
Florida,Orange,"4,367",42,429,999,"2,897","23,807","4,692","17,036","2,079",0
Florida,Osceola,836,11,91,86,648,"4,672","1,067","3,305",300,3
Florida,Palm Beach,"1,893",21,212,400,"1,260","12,337","2,098","9,131","1,108",51
