State,County,Violent_crime,MNNM,"Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Alabama,Autauga,68,2,8,,6,52,414,170,199,45,
Alabama,Baldwin,98,0,4,,18,76,662,230,405,27,
Alabama,Bibb,4,0,1,,0,3,82,42,34,6,
Alabama,Blount,90,0,6,,1,83,923,311,524,88,
Alabama,Calhoun,15,0,3,,1,11,471,200,266,5,
Alabama,Chilton,79,0,18,,2,59,532,223,260,49,
Alabama,Colbert,58,0,16,,4,38,436,131,264,41,
Alabama,Elmore,52,0,13,,11,28,868,357,452,59,
Alabama,Etowah,86,0,22,,3,61,615,239,326,50,
Alabama,Geneva,52,2,7,,0,43,150,76,60,14,
Alabama,Hale,14,0,1,,0,13,98,35,53,10,
Alabama,Henry,19,0,3,,2,14,129,56,62,11,
Alabama,Houston,80,1,20,,6,53,515,164,307,44,
Alabama,Lawrence,66,1,11,,8,46,435,142,247,46,
Alabama,Limestone,82,0,11,,2,69,585,188,362,35,
Alabama,Lowndes,49,2,10,,3,34,241,114,106,21,
Alabama,Madison,342,6,55,,50,231,"2,175",637,"1,370",168,
Alabama,Mobile,139,3,26,,15,95,"2,079",670,"1,201",208,
Alabama,Montgomery,20,0,5,,7,8,220,94,104,22,
Alabama,Russell,43,4,10,,4,25,453,159,255,39,
Alabama,St. Clair,29,0,4,,1,24,268,185,83,0,
Alabama,Tuscaloosa,213,3,19,,20,171,"1,284",366,790,128,
Alabama,Walker,103,1,12,,10,80,"1,058",339,580,139,
Alabama,Barbour,17,2,2,,2,11,128,68,55,5,
Alabama,Bullock,15,0,0,,3,12,84,65,15,4,
Alabama,Butler,44,1,7,,4,32,214,93,113,8,
Alabama,Chambers,4,0,0,,2,2,96,52,43,1,
Alabama,Cherokee,49,2,8,,2,37,388,131,216,41,
Alabama,Clarke,72,0,6,,4,62,113,48,49,16,
Alabama,Clay,17,0,1,,0,16,31,10,17,4,
Alabama,Coffee,28,0,7,,2,19,203,80,96,27,
Alabama,Coosa,13,0,1,,0,12,201,74,121,6,
Alabama,Covington,22,0,4,,0,18,210,76,115,19,
Alabama,Crenshaw,52,1,3,,2,46,143,56,73,14,
Alabama,Cullman,84,2,34,,8,40,"1,030",297,646,87,
Alabama,Dale,29,1,9,,0,19,190,55,119,16,
Alabama,Dallas,65,2,10,,9,44,462,182,251,29,
Alabama,DeKalb,128,2,28,,4,94,810,312,427,71,
Alabama,Escambia,24,0,0,,6,18,133,47,78,8,
Alabama,Franklin,26,0,5,,1,20,317,127,166,24,
Alabama,Greene,24,1,1,,4,18,90,33,46,11,
Alabama,Jackson,81,3,20,,0,58,588,264,274,50,
Alabama,Lamar,16,0,2,,0,14,29,9,18,2,
Alabama,Macon,24,0,4,,7,13,151,64,78,9,
Alabama,Marengo,33,0,3,,3,27,178,64,102,12,
Alabama,Marion,30,1,5,,2,22,188,66,110,12,
Alabama,Marshall,47,0,9,,3,35,447,220,203,24,
Alabama,Monroe,34,0,0,,1,33,136,40,85,11,
Alabama,Pike,15,0,1,,1,13,155,38,105,12,
Alabama,Randolph,2,0,0,,0,2,169,81,87,1,
Alabama,Talladega,74,0,1,,10,63,901,340,492,69,
Alabama,Tallapoosa,19,0,9,,0,10,146,71,63,12,
Alabama,Washington,22,0,2,,0,20,86,25,52,9,
Alabama,Wilcox,52,2,0,,3,47,105,38,62,5,
Alabama,Winston,15,0,6,,0,9,86,35,47,4,
Arizona,Coconino,91,3,17,,3,68,459,147,300,12,39
Arizona,Maricopa,"1,114",17,80,,81,936,"5,022","1,195","3,351",476,50
Arizona,Mohave,163,3,46,,23,91,"2,155",809,"1,186",160,23
Arizona,Pima,976,12,69,,161,734,"9,199","1,898","6,697",604,64
Arizona,Pinal,194,7,56,,16,115,"3,015",530,"2,125",360,13
Arizona,Yuma,152,5,14,,12,121,"1,126",510,537,79,16
Arizona,Apache,60,0,4,,0,56,205,112,90,3,71
Arizona,Gila,76,0,1,,1,74,398,119,247,32,8
Arizona,Graham,118,0,0,,18,100,181,83,77,21,4
Arizona,La Paz,26,1,2,,2,21,424,149,240,35,1
Arizona,Navajo,69,0,4,,1,64,499,255,207,37,1
Arizona,Santa Cruz,8,0,1,,2,5,234,95,108,31,0
Arkansas,Benton,85,1,23,,2,59,458,227,217,14,0
